,class,prob
0,6,0.6519308943089431
1,5,0.5777442853554383
2,6,0.5045801526717557
3,6,0.6532507739938079
4,6,0.609242618741977
5,6,0.655627425614489
6,6,0.6365296803652968
7,1,0.719821942916994
8,4,0.6811631497683994
9,4,0.5985644706485517
10,1,0.6531088082901555
11,3,0.5667008722421754
12,5,0.6432584269662921
13,6,0.6445012787723785
14,6,0.6853871319520175
15,2,0.6840757808499744
16,1,0.5491251682368775
17,6,0.7143593709719
18,5,0.6601188937710003
19,5,0.7164908669925393
20,2,0.6774863671773566
21,1,0.6375379939209727
22,3,0.6931964056482671
23,5,0.6992772328342798
24,6,0.5543787135107208
25,4,0.6962025316455697
26,4,0.6030690537084399
27,3,0.6204569055036345
28,1,0.6216545012165451
29,5,0.754399387911247
30,5,0.6072811773818745
31,5,0.5543222334342415
32,2,0.6075619295958279
33,1,0.757969905636317
34,2,0.540650406504065
35,5,0.6725434275343531
36,3,0.5716135716135716
37,2,0.6031098648993117
38,2,0.5549117724519358
39,4,0.6136185755283068
40,1,0.8569926393270243
41,2,0.6973989183620911
42,4,0.6169227017800536
43,4,0.5491718426501035
44,5,0.5998570918185065
45,3,0.7290116896918173
46,1,0.6617139824887238
47,5,0.5807197943444731
48,6,0.5719089498189343
49,6,0.5546894644204174
50,5,0.6476473769605192
51,1,0.6441683140355832
52,5,0.5723156532988357
53,1,0.5908733280881195
54,6,0.7115953726123218
55,2,0.7197956577266922
56,4,0.7084947069455203
57,5,0.6342704149933066
58,5,0.7122529644268775
59,4,0.6391489361702127
60,5,0.6619897959183674
61,1,0.6580562659846547
62,3,0.6316059517701386
63,4,0.6126959650475456
64,5,0.6427289048473968
65,5,0.6492768595041322
66,3,0.5827984595635429
67,1,0.5509211873080859
68,4,0.581790514836419
69,2,0.5416776229292664
70,2,0.6728232189973615
71,1,0.5940360973057808
72,3,0.6157383750638733
73,6,0.599401346969319
74,2,0.6692688004163414
75,4,0.7226277372262774
76,4,0.6517464424320828
77,4,0.5993300695696985
78,6,0.5730610260150741
79,2,0.6099463676255485
80,1,0.6843725943033102
81,6,0.6411372950819673
82,3,0.5961340206185567
83,6,0.6993110236220472
84,6,0.6451361867704279
85,3,0.6392893923789907
86,4,0.6589548176374523
87,5,0.6749803097925965
88,3,0.6101118133203695
89,6,0.6057098765432098
90,4,0.8842902943748179
91,4,0.7638491547464239
92,4,0.5958482829318298
93,3,0.610981610981611
94,3,0.632322713257965
95,2,0.6249328318108544
96,6,0.641301562900333
97,1,0.6538068472151252
98,5,0.6468655899260881
99,3,0.6254146465935188
100,6,0.6343109265507397
101,4,0.6246477068921342
102,2,0.5704242424242424
103,1,0.6765470618824753
104,6,0.6445012787723785
105,2,0.6322282189668466
106,5,0.6141918528252299
107,1,0.6788871554862194
108,2,0.7082262210796914
109,1,0.6641641641641641
110,4,0.5498944033790919
111,3,0.6090837490154897
112,6,0.6949857105741751
113,2,0.6320634108923548
114,6,0.5908979089790898
115,6,0.5988835725677831
116,2,0.6497145822522055
117,2,0.6225337487019731
118,5,0.6147498710675606
119,5,0.656338755486703
120,2,0.6855435401252135
121,5,0.6178310740354536
122,2,0.695822454308094
123,1,0.7700994891099758
124,2,0.5918155918155918
125,6,0.6535414165666266
126,4,0.6761030349400663
127,1,0.7615495668912414
128,1,0.6002032004064008
129,5,0.6250322580645161
130,5,0.5779507133592736
131,2,0.5649585921325052
132,3,0.6069677419354839
133,2,0.6079136690647482
134,4,0.6609121360474105
135,2,0.6039011703511054
136,2,0.5866951643067058
137,5,0.6197327852004111
138,3,0.6722903885480572
139,4,0.5677655677655677
140,3,0.754596527068437
141,5,0.640931693274012
142,1,0.6208947504525472
143,4,0.5721817725332664
144,2,0.7467498699947998
145,4,0.7479278400780107
146,1,0.6139930832668263
147,5,0.597412109375
148,2,0.5560699588477366
149,1,0.7495527728085869
150,3,0.6355601767611125
151,3,0.6415235250186706
152,6,0.6294597349643222
153,1,0.6047046791102021
154,3,0.6870053612458514
155,6,0.6375545851528385
156,6,0.6275012827090816
157,1,0.5736409608091024
158,6,0.6676930972542982
159,4,0.5918878317476214
160,4,0.6236753683122254
161,6,0.5831550802139037
162,2,0.8517397881996974
163,1,0.5980319803198032
164,1,0.6114373244830226
165,3,0.6583488186886116
166,4,0.5733333333333334
167,4,0.7299270072992701
168,1,0.6479305058763414
169,1,0.8965785381026438
170,4,0.7521918514698298
171,3,0.6403027930044375
172,5,0.612473903966597
173,3,0.6336134453781512
174,5,0.7093944538766271
175,3,0.6701084150748581
176,6,0.7027589796980738
177,3,0.7539213165338133
178,6,0.5915235659481184
179,6,0.6695898890895022
180,6,0.6375161707632601
181,2,0.5992779783393501
182,4,0.6306352459016393
183,6,0.6002039775624681
184,2,0.6888065625826938
185,4,0.5931751532924553
186,1,0.5984536082474226
187,3,0.5555555555555556
188,5,0.41666666666666663
189,3,0.6026762738033968
190,3,0.5832899531494014
191,4,0.6193753308628904
192,5,0.6330655610261726
193,2,0.7380274398136164
194,3,0.5885658441241144
195,6,0.7238295633876906
196,1,0.6750127746550844
197,1,0.6168037895786586
198,5,0.6992167101827677
199,2,0.6879895561357703
200,5,0.5954767411976356
201,6,0.6720901126408011
202,5,0.7006418485237484
203,3,0.6280030999741669
204,2,0.5557549346321456
205,6,0.6292657704239917
206,6,0.6073011734028682
207,4,0.5833333333333334
208,3,0.6906845084920226
209,2,0.5966494845360825
210,6,0.7562872698988851
211,1,0.4611602753195674
212,4,0.6185165975103735
213,4,0.6233800581856652
214,2,0.6221020092735703
215,2,0.6969151670951157
216,2,0.6195172592784843
217,1,0.6277056277056277
218,5,0.6223758320532514
219,5,0.7085362727505767
220,3,0.5411453320500481
221,5,0.524113475177305
222,3,0.5669191919191919
223,3,0.6116910229645094
224,3,0.6538661131292164
225,1,0.6866941722537391
226,5,0.5530554845308105
227,3,0.7377387712958182
228,4,0.5972367049009385
229,3,0.6165668142745506
230,5,0.6710323574730354
231,6,0.6239360330152179
232,3,0.5950857435372409
233,5,0.6418307610431079
234,1,0.6003155403628714
235,3,0.4902629016553067
236,6,0.5914556152468662
237,5,0.6076371091747822
238,4,0.5717137154262902
239,2,0.554210661859387
240,2,0.5994383456727087
241,5,0.6208749040675364
242,6,0.7125779625779626
243,2,0.6378336755646817
244,4,0.7710905349794238
245,2,0.6759979263867288
246,2,0.7140637140637142
247,6,0.6551357104843002
248,6,0.5467362924281984
249,3,0.6076505556991469
250,4,0.6860335195530727
251,3,0.6537579617834394
252,6,0.5631143300569064
253,3,0.6006458557588805
254,2,0.6731070496083551
255,4,0.6622481442205727
256,3,0.5922480620155038
257,6,0.658835546475996
258,4,0.843944099378882
259,1,0.5816929133858267
260,1,0.6939817302525524
261,6,0.6138253638253638
262,2,0.7836512261580381
263,5,0.5478327776352911
264,6,0.7112084702446149
265,3,0.69757343550447
266,6,0.6757679180887372
267,2,0.5894817462343629
268,2,0.5964866959442005
269,1,0.6668384437000773
270,1,0.6461380549140364
271,6,0.5736142463004765
272,1,0.6101608373755425
273,1,0.7510319917440661
274,4,0.6505961638154484
275,5,0.8604350077679958
276,3,0.6231003039513677
277,6,0.6766513056835638
278,5,0.6129776865863042
279,3,0.6332607116920842
280,1,0.7346701540249928
281,2,0.657530737704918
282,5,0.6691574336511208
283,1,0.5985005170630817
284,1,0.5228260869565218
285,4,0.6476777007954837
